Company,TypeName,Inches,Ram,OpSys,Weight,Price,Cpu_brand_temp,Gpu_brand_temp,Touchscreen,IPS,X_res,PPI,SSD,HDD,Hybrid,Cpu_brand,Cpu_tier,Cpu_speed,Gpu_brand,Dedicated_gpu
Dell,Notebook,17.3,8,Windows 10,2.8,10.862111839946362,Intel,AMD,0,1,1920,127.33567457123112,128,1024,0,Intel,i5,1.6,amd,1
HP,Notebook,15.6,4,Windows 10,1.86,10.167327773397746,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i5,2.5,intel,0
HP,Notebook,15.6,8,Windows 10,2.1,10.754367276099781,Intel,Nvidia,0,0,1920,141.21199808219862,256,0,0,Intel,i5,1.6,nvidia,1
Asus,Notebook,15.6,4,Linux,2.0,9.939188617449547,Intel,Intel,0,0,1920,141.21199808219862,0,1024,0,Intel,i3,2.5,intel,0
Dell,Gaming,15.6,16,Windows 10,2.65,11.288127045116099,Intel,Nvidia,0,1,1920,141.21199808219862,256,1024,0,Intel,i7,2.8,nvidia,1
Asus,Notebook,15.6,8,Linux,2.3,10.235159256444781,Intel,Nvidia,0,0,1366,100.45466986113652,0,1024,0,Intel,i5,2.5,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.2,10.500618203885733,Intel,Intel,0,1,1920,141.21199808219862,256,0,0,Intel,i5,1.6,intel,0
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,10.882334592260529,Intel,Nvidia,1,0,1920,127.33567457123112,0,1024,0,Intel,i5,1.6,nvidia,1
Apple,Ultrabook,13.3,8,macOS,1.37,11.233281930062116,Intel,Intel,0,1,2560,226.98300468106115,256,0,0,Intel,i5,2.0,intel,0
Lenovo,Notebook,15.6,4,No OS,2.2,9.88640853285114,Intel,Intel,0,0,1366,100.45466986113652,128,0,0,Intel,i3,2.5,intel,0
Asus,Gaming,17.3,8,Windows 10,3.2,11.14492549142712,AMD,AMD,0,0,1920,127.33567457123112,256,1024,0,AMD,other,2.5,amd,1
Dell,Notebook,15.6,4,Windows 10,2.3,10.435494852273417,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i5,2.5,amd,1
Asus,Notebook,17.3,4,Windows 10,2.8,10.11978693587454,Intel,Nvidia,0,0,1366,90.58340172449304,0,1024,0,Intel,other,1.1,nvidia,1
Acer,Notebook,15.6,8,Windows 10,2.2,10.7101750031603,Intel,Nvidia,0,1,1920,141.21199808219862,256,0,0,Intel,i7,1.8,nvidia,1
HP,Notebook,15.6,4,Windows 10,1.86,9.963290528658876,AMD,AMD,0,0,1920,141.21199808219862,256,0,0,AMD,other,2.5,amd,1
HP,Notebook,13.3,8,Windows 10,1.49,10.981367061450355,Intel,Intel,0,0,1920,165.6321180513006,512,0,0,Intel,i7,1.8,intel,0
Acer,Notebook,15.6,4,Windows 10,2.4,9.92625245462742,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i3,2.4,intel,0
Dell,Notebook,15.6,8,Windows 10,2.13,10.619114753366912,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i7,1.8,amd,1
HP,Notebook,15.6,4,Windows 10,1.91,10.060103191853011,Intel,Intel,0,0,1920,141.21199808219862,128,0,0,Intel,i3,2.5,intel,0
Asus,Notebook,15.6,4,Windows 10,2.0,10.34923701306093,Intel,Intel,0,0,1366,100.45466986113652,256,0,0,Intel,i5,2.5,intel,0
MSI,Gaming,17.3,16,Windows 10,2.43,11.779003747004984,Intel,Nvidia,0,0,1920,127.33567457123112,256,2048,0,Intel,i7,2.8,nvidia,1
Asus,Notebook,15.6,4,Linux,2.0,10.00388477138901,Intel,Intel,0,0,1920,141.21199808219862,256,0,0,Intel,i3,2.5,intel,0
Dell,Notebook,17.3,16,Windows 10,2.8,11.14492549142712,Intel,AMD,0,0,1920,127.33567457123112,256,2048,0,Intel,i7,1.8,amd,1
Dell,Ultrabook,14.0,8,Windows 10,1.7,10.754367276099781,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i5,1.6,intel,0
Lenovo,Notebook,14.0,8,No OS,1.7,10.370853957360486,Intel,Intel,0,1,1920,157.3505121487356,256,0,0,Intel,i3,2.7,intel,0
Asus,Notebook,14.0,8,Windows 10,1.4,10.822524111175213,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i5,1.6,intel,0
HP,Notebook,15.6,8,Windows 10,1.86,10.512279824567653,Intel,Intel,0,0,1920,141.21199808219862,256,0,0,Intel,i5,2.5,intel,0
Asus,Ultrabook,15.6,16,Windows 10,1.8,11.567936619542625,Intel,Nvidia,0,0,1920,141.21199808219862,512,0,0,Intel,i7,2.8,nvidia,1
HP,Notebook,15.6,4,Windows 10,1.86,10.05939682228015,Intel,AMD,0,0,1366,100.45466986113652,0,500,0,Intel,i3,2.5,amd,1
Lenovo,Notebook,15.6,4,Windows 10,1.9,10.283693654349953,Intel,Intel,0,0,1920,141.21199808219862,0,1024,0,Intel,i5,2.5,intel,0
Asus,Gaming,17.3,12,Linux,3.0,10.830989602063529,Intel,Nvidia,0,0,1920,127.33567457123112,0,1024,0,Intel,i7,2.8,nvidia,1
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,10.968593383882295,Intel,Intel,1,0,2256,200.84255993695703,128,0,0,Intel,i5,2.5,intel,0
Dell,Ultrabook,13.3,8,Windows 10,1.4,10.837292019680758,Intel,AMD,0,1,1920,165.6321180513006,256,0,0,Intel,i7,1.8,amd,1
Dell,Notebook,15.6,8,Windows 10,2.2,10.744075810945498,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i7,1.8,amd,1
MSI,Gaming,17.3,8,Windows 10,2.7,10.974087808763938,Intel,Nvidia,0,0,1920,127.33567457123112,128,1024,0,Intel,i5,2.5,nvidia,1
Acer,Notebook,14.0,8,Windows 10,2.1,9.939188617449547,Intel,Intel,0,0,1366,111.93520355955212,0,1024,0,Intel,i3,2.5,intel,0
Asus,Gaming,15.6,8,Windows 10,2.2,10.830989602063529,Intel,Nvidia,0,0,1920,141.21199808219862,0,1024,0,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,15.6,8,No OS,2.2,10.227501072075105,Intel,Intel,0,0,1920,141.21199808219862,0,2048,0,Intel,i5,2.5,intel,0
Dell,Notebook,15.6,8,Windows 10,2.02,10.726684446704295,Intel,Intel,0,0,1920,141.21199808219862,128,1024,0,Intel,i7,1.8,intel,0
Acer,Notebook,15.6,4,Windows 10,2.2,10.248473444922546,Intel,Nvidia,0,0,1920,141.21199808219862,0,1024,0,Intel,i3,2.7,nvidia,1
HP,Notebook,17.3,8,Windows 10,2.5,10.86006688870326,Intel,Nvidia,0,0,1920,127.33567457123112,128,1024,0,Intel,i5,1.6,nvidia,1
Dell,Ultrabook,15.6,8,Windows 10,1.88,10.975146590629556,Intel,Intel,0,1,1920,141.21199808219862,256,0,0,Intel,i5,1.6,intel,0
Apple,Ultrabook,12.0,8,macOS,0.92,11.295438385612048,Intel,Intel,0,1,2304,226.4155471693585,512,0,0,Intel,i5,1.3,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,10.732515239391274,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i5,1.6,intel,0
Lenovo,Notebook,15.6,4,Windows 10,2.2,9.964569481536397,AMD,AMD,0,0,1920,141.21199808219862,128,0,0,AMD,other,2.5,amd,1
Acer,Notebook,15.6,4,Windows 10,2.1,9.954494305874713,AMD,AMD,0,0,1366,100.45466986113652,0,1024,0,AMD,other,2.5,amd,1
Dell,Gaming,15.6,16,Windows 10,2.65,11.182693795440782,Intel,Nvidia,0,1,1920,141.21199808219862,128,1024,0,Intel,i7,2.8,nvidia,1
HP,Ultrabook,15.6,8,Windows 10,1.83,10.525238618990686,Intel,Nvidia,0,1,1920,141.21199808219862,256,0,0,Intel,i7,1.8,nvidia,1
HP,Notebook,15.6,8,Windows 10,1.96,10.370837263253403,Intel,Intel,0,0,1920,141.21199808219862,256,0,0,Intel,i5,2.5,intel,0
Asus,Gaming,15.6,16,Windows 10,2.2,11.25420292138043,Intel,Nvidia,0,1,1920,141.21199808219862,128,1024,0,Intel,i7,2.8,nvidia,1
Dell,Ultrabook,13.3,8,Windows 10,1.21,11.38349673063646,Intel,Intel,0,1,1920,165.6321180513006,256,0,0,Intel,i7,1.8,intel,0
Asus,Gaming,15.6,8,Windows 10,2.45,10.525238618990686,AMD,AMD,0,0,1920,141.21199808219862,0,1024,0,AMD,other,2.5,amd,1
Acer,Notebook,15.6,8,Windows 10,2.2,10.510829537468052,Intel,Nvidia,0,0,1920,141.21199808219862,0,1024,0,Intel,i7,1.8,nvidia,1
HP,Notebook,13.3,16,Windows 10,1.49,11.06315041150742,Intel,Intel,0,0,1920,165.6321180513006,512,0,0,Intel,i7,1.8,intel,0
Dell,Gaming,15.6,8,Windows 10,2.65,11.061478196557058,Intel,Nvidia,0,0,1920,141.21199808219862,256,0,0,Intel,i5,2.5,nvidia,1
Asus,Ultrabook,14.0,8,Windows 10,1.25,10.9311715265263,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i7,2.7,intel,0
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,10.717283879751747,Intel,Intel,1,1,1920,165.6321180513006,256,0,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,8,Linux,2.2,10.372355286897466,Intel,AMD,0,0,1920,141.21199808219862,0,1024,0,Intel,i7,2.7,amd,1
Dell,Notebook,15.6,4,Linux,2.2,10.159748614913156,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i3,2.5,amd,1
Asus,Notebook,15.6,6,Windows 10,2.0,10.333435820406644,Intel,Nvidia,0,0,1920,141.21199808219862,256,0,0,Intel,i3,2.4,nvidia,1
HP,Gaming,15.6,12,Windows 10,2.62,11.10567456328145,Intel,Nvidia,0,1,1920,141.21199808219862,128,1024,0,Intel,i7,2.8,nvidia,1
HP,Notebook,15.6,8,Windows 10,1.91,10.55344848760242,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i7,2.7,amd,1
HP,Notebook,15.6,4,Windows 10,2.1,9.830686725695612,AMD,AMD,0,0,1920,141.21199808219862,0,500,0,AMD,other,1.5,amd,1
Dell,Notebook,15.6,8,Linux,2.2,10.447936329228463,Intel,AMD,0,0,1920,141.21199808219862,0,1024,0,Intel,i5,1.6,amd,1
HP,Ultrabook,13.3,8,Windows 10,1.38,10.995768507208373,Intel,Nvidia,0,1,1920,165.6321180513006,256,0,0,Intel,i7,2.7,nvidia,1
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,11.175999925622857,Intel,Intel,1,0,2256,200.84255993695703,256,0,0,Intel,i5,2.5,intel,0
HP,Notebook,14.0,6,Windows 10,1.58,10.466313041010059,Intel,Nvidia,0,1,1920,157.3505121487356,256,0,0,Intel,i5,2.5,nvidia,1
Lenovo,Notebook,15.6,4,Windows 10,1.85,10.003643789397087,Intel,Intel,0,0,1920,141.21199808219862,0,1024,0,Intel,i3,2.5,intel,0
Asus,Ultrabook,14.0,8,Windows 10,1.3,11.059803180619348,Intel,Nvidia,0,1,1920,157.3505121487356,256,0,0,Intel,i7,2.7,nvidia,1
MSI,Gaming,15.6,16,Windows 10,2.2,11.14492549142712,Intel,Nvidia,0,0,1920,141.21199808219862,256,1024,0,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,14.0,8,Windows 10,1.58,11.275371074510403,Intel,Intel,0,1,1920,157.3505121487356,256,0,0,Intel,i7,2.7,intel,0
Asus,Ultrabook,15.6,16,Windows 10,1.5,11.116028941464197,Intel,Nvidia,0,0,1920,141.21199808219862,256,1024,0,Intel,i7,1.8,nvidia,1
Dell,Ultrabook,13.3,8,Windows 10,1.23,11.204688514352517,Intel,Intel,1,0,3200,276.053530085501,256,0,0,Intel,i7,2.4,intel,0
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,11.219087416653776,Intel,Intel,1,1,1920,165.6321180513006,256,0,0,Intel,i5,2.5,intel,0
HP,Notebook,14.0,4,Windows 10,1.63,10.557612160311693,Intel,Intel,0,1,1366,111.93520355955212,0,500,0,Intel,i5,1.6,intel,0
Dell,Ultrabook,13.3,8,Windows 10,1.21,11.371294156418369,Intel,Intel,0,1,1920,165.6321180513006,256,0,0,Intel,i5,1.6,intel,0
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,11.219080268761294,Intel,Intel,1,1,1920,165.6321180513006,256,0,0,Intel,i5,1.6,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,10.963991522444166,Intel,Intel,0,0,1920,157.3505121487356,512,0,0,Intel,i7,1.8,intel,0
Dell,Notebook,15.6,8,Windows 10,2.16,11.005842535245586,Intel,Nvidia,0,1,1920,141.21199808219862,256,1024,0,Intel,i7,1.8,nvidia,1
Asus,Notebook,17.3,4,Windows 10,2.0,10.310648555135304,Intel,Nvidia,0,0,1920,127.33567457123112,0,1024,0,Intel,i3,2.5,nvidia,1
Asus,Notebook,15.6,8,Windows 10,1.7,10.99487446761375,Intel,Nvidia,0,0,1920,141.21199808219862,256,0,0,Intel,i7,1.8,nvidia,1
Acer,Notebook,15.6,6,Windows 10,2.1,10.147300806108744,Intel,Intel,1,1,1920,141.21199808219862,0,1024,0,Intel,i3,2.4,intel,0
MSI,Gaming,15.6,16,Windows 10,1.8,11.690469963100075,Intel,Nvidia,0,0,1920,141.21199808219862,256,2048,0,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,15.6,8,No OS,2.2,10.419722121547444,Intel,Nvidia,0,0,1920,141.21199808219862,256,0,0,Intel,i5,2.5,nvidia,1
HP,Notebook,17.3,16,Windows 10,2.5,11.123135064243138,Intel,Nvidia,0,0,1920,127.33567457123112,512,0,0,Intel,i7,1.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,10.08706998076417,AMD,AMD,0,0,1366,100.45466986113652,256,0,0,AMD,other,2.5,amd,1
HP,Notebook,14.0,8,Windows 10,1.63,10.675084480373934,Intel,Intel,0,0,1920,157.3505121487356,0,1024,0,Intel,i5,1.6,intel,0
Dell,Notebook,17.3,16,Windows 10,2.8,11.216940754140841,Intel,AMD,0,0,1920,127.33567457123112,256,2048,0,Intel,i7,1.8,amd,1
HP,Notebook,17.3,8,Windows 10,2.5,10.808612983780158,Intel,Intel,0,0,1920,127.33567457123112,256,0,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,8,Windows 10,2.36,10.435479203158344,Intel,AMD,0,0,1366,100.45466986113652,0,1024,0,Intel,i5,2.5,amd,1
Dell,Notebook,15.6,4,Windows 10,2.2,10.082625714367484,Intel,AMD,0,0,1920,141.21199808219862,0,1024,0,Intel,i3,2.5,amd,1
Acer,Ultrabook,14.0,8,Windows 10,1.6,10.760039320283267,Intel,Intel,0,1,1920,157.3505121487356,256,0,0,Intel,i7,1.8,intel,0
Acer,Notebook,15.6,4,Windows 10,2.2,10.324732829606425,Intel,Nvidia,0,0,1920,141.21199808219862,256,0,0,Intel,i3,2.7,nvidia,1
HP,Notebook,15.6,8,Windows 10,2.05,10.36918316559119,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i7,2.7,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,10.871262720529089,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i7,1.8,intel,0
Asus,Gaming,17.3,8,Windows 10,3.0,10.819330984386541,Intel,Nvidia,0,0,1920,127.33567457123112,128,1024,0,Intel,i5,2.5,nvidia,1
Lenovo,Notebook,15.6,4,No OS,2.2,10.188204734039374,Intel,Nvidia,0,0,1920,141.21199808219862,0,1024,0,Intel,i5,2.5,nvidia,1
HP,Notebook,13.3,4,Windows 10,1.32,10.525238618990686,Intel,Intel,0,1,1920,165.6321180513006,256,0,0,Intel,i5,2.5,intel,0
Acer,Notebook,17.3,4,Windows 10,3.0,10.460224916065657,Intel,Nvidia,0,1,1920,127.33567457123112,0,1024,0,Intel,i3,2.7,nvidia,1
Lenovo,Notebook,14.0,8,Windows 10,1.75,10.993101907610118,Intel,AMD,0,1,1920,157.3505121487356,256,0,0,Intel,i5,1.6,amd,1
Lenovo,Gaming,15.6,8,No OS,2.4,10.742925749387153,Intel,Nvidia,0,1,1920,141.21199808219862,256,0,0,Intel,i7,2.8,nvidia,1
Toshiba,Notebook,15.6,4,Windows 10,2.1,10.37584964841171,Intel,Intel,0,0,1366,100.45466986113652,0,500,0,Intel,i5,2.3,intel,0
HP,Notebook,15.6,4,Windows 10,1.86,9.88640853285114,AMD,AMD,0,0,1366,100.45466986113652,256,0,0,AMD,other,2.5,amd,1
Asus,Ultrabook,14.0,8,Windows 10,1.25,10.977734058532482,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i7,1.8,intel,0
HP,Ultrabook,12.5,8,Windows 10,0.97,11.58344841861755,Intel,Intel,1,1,3840,352.4651472131677,512,0,0,Intel,other,1.2,intel,0
Asus,Notebook,15.6,4,Windows 10,2.0,9.816257242491497,Intel,Intel,0,0,1920,141.21199808219862,0,1024,0,Intel,celeron,1.1,intel,0
MSI,Gaming,17.3,16,Windows 10,2.9,11.590868616270843,Intel,Nvidia,0,0,1920,127.33567457123112,256,1024,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,10.07816160826124,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i3,2.5,intel,0
Dell,Gaming,15.6,16,Windows 10,2.56,11.105882705023603,Intel,Nvidia,0,0,1920,141.21199808219862,512,0,0,Intel,i7,2.8,nvidia,1
Dell,Gaming,15.6,8,Windows 10,2.62,10.776864937870439,Intel,Nvidia,0,0,1920,141.21199808219862,0,0,1,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,15.6,4,Windows 10,1.9,10.1861987908373,Intel,Intel,0,0,1366,100.45466986113652,128,0,0,Intel,i5,2.5,intel,0
MSI,Gaming,17.3,16,Windows 10,2.8,11.519903064802,Intel,Nvidia,0,0,1920,127.33567457123112,256,1024,0,Intel,i7,2.8,nvidia,1
HP,Ultrabook,14.0,4,Windows 10,1.48,10.962144831854813,Intel,Intel,0,0,1920,157.3505121487356,256,0,0,Intel,i5,2.7,intel,0
HP,Notebook,15.6,6,Windows 10,1.91,10.403696619569766,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i5,1.6,amd,1
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,10.419722121547444,Intel,Intel,1,1,1920,157.3505121487356,256,0,0,Intel,i3,2.4,intel,0
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,11.157167243570104,Intel,Intel,1,0,1920,165.6321180513006,256,0,0,Intel,i5,1.6,intel,0
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,10.9311715265263,Intel,Intel,1,0,1920,141.21199808219862,256,0,0,Intel,i7,1.8,intel,0
Toshiba,Notebook,15.6,4,Windows 10,2.1,10.07816160826124,Intel,Intel,0,0,1366,100.45466986113652,0,500,0,Intel,i3,2.2,intel,0
Asus,Notebook,15.6,4,Windows 10,2.03,9.974544159721564,AMD,AMD,0,0,1366,100.45466986113652,0,1024,0,AMD,other,2.5,amd,1
Acer,Notebook,17.3,4,Windows 10,3.0,10.666426618619608,Intel,Nvidia,0,1,1920,127.33567457123112,256,0,0,Intel,i5,1.6,nvidia,1
Dell,Notebook,15.6,8,Windows 10,2.13,10.565887855372269,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i5,1.6,amd,1
Lenovo,Gaming,15.6,16,Windows 10,2.5,10.959368385934692,Intel,Nvidia,0,1,1920,141.21199808219862,256,0,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,9.82781743779585,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,celeron,1.1,intel,0
MSI,Gaming,15.6,16,Windows 10,2.4,11.470557693018055,Intel,Nvidia,0,1,1920,141.21199808219862,256,1024,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,9.87141946386704,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,other,1.1,intel,0
Dell,Gaming,15.6,8,Windows 10,2.56,10.942065068725807,Intel,Nvidia,0,0,1920,141.21199808219862,128,1024,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,17.3,8,Windows 10,3.0,10.725514197260196,Intel,Nvidia,0,1,1920,127.33567457123112,256,0,0,Intel,i5,1.6,nvidia,1
HP,Notebook,13.3,4,Windows 10,1.49,10.600978286196554,Intel,Intel,0,1,1920,165.6321180513006,0,500,0,Intel,i5,1.6,intel,0
Huawei,Ultrabook,13.0,8,Windows 10,1.05,11.182693795440782,Intel,Intel,0,1,2160,199.69207064108247,256,0,0,Intel,i5,2.5,intel,0
HP,Notebook,17.3,6,Windows 10,2.71,10.525238618990686,Intel,AMD,0,1,1920,127.33567457123112,0,2048,0,Intel,i5,2.5,amd,1
Lenovo,Notebook,15.6,4,No OS,2.2,9.708963041637261,AMD,AMD,0,0,1366,100.45466986113652,0,500,0,AMD,other,2.9,amd,1
Toshiba,Notebook,15.6,4,Windows 10,2.0,10.16796189691066,Intel,Intel,0,0,1366,100.45466986113652,0,500,0,Intel,i3,2.4,intel,0
HP,Notebook,17.3,8,Windows 10,2.5,10.803210595055619,Intel,Nvidia,0,0,1920,127.33567457123112,256,0,0,Intel,i5,1.6,nvidia,1
Dell,Notebook,15.6,8,Windows 10,2.3,10.104652126020449,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i3,2.4,intel,0
Acer,Notebook,15.6,4,Windows 10,2.1,10.082625714367484,Intel,Intel,0,0,1366,100.45466986113652,128,0,0,Intel,i3,2.5,intel,0
Lenovo,Notebook,15.6,8,Windows 10,1.9,10.676315221329915,Intel,AMD,0,0,1920,141.21199808219862,128,1024,0,Intel,i5,2.5,amd,1
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,11.288127045116099,Intel,Intel,1,1,3840,331.2642361026012,256,0,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,16,Linux,2.02,10.9311715265263,Intel,AMD,0,0,1920,141.21199808219862,256,2048,0,Intel,i7,1.8,amd,1
Dell,Ultrabook,13.3,8,Windows 10,1.23,11.219087416653776,Intel,Intel,0,0,1920,165.6321180513006,256,0,0,Intel,i5,1.6,intel,0
