Company,TypeName,Inches,Ram,OpSys,Weight,Price,Cpu_brand_temp,Gpu_brand_temp,Touchscreen,IPS,X_res,Y_res,PPI,SSD,HDD,Flash,Hybrid,Cpu_brand,Cpu_tier,Cpu_speed,Gpu_brand,Dedicated_gpu
Asus,Gaming,17.3,12,Linux,3.0,50562.72,Intel,Nvidia,0,0,1920,1080,127.33567457123111,0,1024,0,0,Intel,i7,2.8,nvidia,1
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,58021.92,Intel,Intel,1,0,2256,1504,200.84255993695703,128,0,0,0,Intel,i5,2.5,intel,0
Dell,Ultrabook,13.3,8,Windows 10,1.4,50882.4,Intel,AMD,0,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i7,1.8,amd,1
Dell,Notebook,15.6,8,Windows 10,2.2,46353.6,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,amd,1
MSI,Gaming,17.3,8,Windows 10,2.7,58341.6,Intel,Nvidia,0,0,1920,1080,127.33567457123111,128,1024,0,0,Intel,i5,2.5,nvidia,1
Acer,Notebook,14.0,8,Windows 10,2.1,20725.92,Intel,Intel,0,0,1366,768,111.93520355955211,0,1024,0,0,Intel,i3,2.5,intel,0
Asus,Gaming,15.6,8,Windows 10,2.2,50562.72,Intel,Nvidia,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,15.6,8,No OS,2.2,27652.32,Intel,Intel,0,0,1920,1080,141.21199808219862,0,2048,0,0,Intel,i5,2.5,intel,0
Dell,Notebook,15.6,8,Windows 10,2.02,45554.4,Intel,Intel,0,0,1920,1080,141.21199808219862,128,1024,0,0,Intel,i7,1.8,intel,0
Acer,Notebook,15.6,4,Windows 10,2.2,28238.4,Intel,Nvidia,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i3,2.7,nvidia,1
HP,Notebook,17.3,8,Windows 10,2.5,52054.56,Intel,Nvidia,0,0,1920,1080,127.33567457123111,128,1024,0,0,Intel,i5,1.6,nvidia,1
Dell,Ultrabook,15.6,8,Windows 10,1.88,58403.4048,Intel,Intel,0,1,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,1.6,intel,0
Apple,Ultrabook,12.0,8,macOS,0.92,80452.8,Intel,Intel,0,1,2304,1440,226.41554716935852,512,0,0,0,Intel,i5,1.3,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,45820.8,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,1.6,intel,0
Lenovo,Notebook,15.6,4,Windows 10,2.2,21258.72,AMD,AMD,0,0,1920,1080,141.21199808219862,128,0,0,0,AMD,other,2.5,amd,1
Acer,Notebook,15.6,4,Windows 10,2.1,21045.6,AMD,AMD,0,0,1366,768,100.45466986113651,0,1024,0,0,AMD,other,2.5,amd,1
Dell,Gaming,15.6,16,Windows 10,2.65,71874.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,128,1024,0,0,Intel,i7,2.8,nvidia,1
HP,Ultrabook,15.6,8,Windows 10,1.83,37242.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,nvidia,1
HP,Notebook,15.6,8,Windows 10,1.96,31914.1872,Intel,Intel,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,2.5,intel,0
Asus,Gaming,15.6,16,Windows 10,2.2,77202.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,128,1024,0,0,Intel,i7,2.8,nvidia,1
Dell,Ultrabook,13.3,8,Windows 10,1.21,87858.72,Intel,Intel,0,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i7,1.8,intel,0
Asus,Gaming,15.6,8,Windows 10,2.45,37242.72,AMD,AMD,0,0,1920,1080,141.21199808219862,0,1024,0,0,AMD,other,2.5,amd,1
Acer,Notebook,15.6,8,Windows 10,2.2,36709.92,Intel,Nvidia,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i7,1.8,nvidia,1
HP,Notebook,13.3,16,Windows 10,1.49,63776.16,Intel,Intel,0,0,1920,1080,165.6321180513006,512,0,0,0,Intel,i7,1.8,intel,0
Dell,Gaming,15.6,8,Windows 10,2.65,63669.6,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,2.5,nvidia,1
Asus,Ultrabook,14.0,8,Windows 10,1.25,55890.72,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i7,2.7,intel,0
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128.16,Intel,Intel,1,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,8,Linux,2.2,31962.672,Intel,AMD,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i7,2.7,amd,1
Dell,Notebook,15.6,4,Linux,2.2,25840.8,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i3,2.5,amd,1
Asus,Notebook,15.6,6,Windows 10,2.0,30742.56,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i3,2.4,nvidia,1
HP,Gaming,15.6,12,Windows 10,2.62,66546.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,128,1024,0,0,Intel,i7,2.8,nvidia,1
HP,Notebook,15.6,8,Windows 10,1.91,38308.32,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,2.7,amd,1
HP,Notebook,15.6,4,Windows 10,2.1,18594.72,AMD,AMD,0,0,1920,1080,141.21199808219862,0,500,0,0,AMD,other,1.5,amd,1
Dell,Notebook,15.6,8,Linux,2.2,34472.16,Intel,AMD,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i5,1.6,amd,1
HP,Ultrabook,13.3,8,Windows 10,1.38,59620.32,Intel,Nvidia,0,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i7,2.7,nvidia,1
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,71395.2,Intel,Intel,1,0,2256,1504,200.84255993695703,256,0,0,0,Intel,i5,2.5,intel,0
HP,Notebook,14.0,6,Windows 10,1.58,35111.52,Intel,Nvidia,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,2.5,nvidia,1
Lenovo,Notebook,15.6,4,Windows 10,1.85,22105.872,Intel,Intel,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i3,2.5,intel,0
Asus,Ultrabook,14.0,8,Windows 10,1.3,63563.04,Intel,Nvidia,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i7,2.7,nvidia,1
MSI,Gaming,15.6,16,Windows 10,2.2,69210.72,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,1024,0,0,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,14.0,8,Windows 10,1.58,78854.4,Intel,Intel,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i7,2.7,intel,0
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239.36,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,1024,0,0,Intel,i7,1.8,nvidia,1
Dell,Ultrabook,13.3,8,Windows 10,1.23,73473.12,Intel,Intel,1,0,3200,1800,276.053530085501,256,0,0,0,Intel,i7,2.4,intel,0
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74538.72,Intel,Intel,1,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,2.5,intel,0
HP,Notebook,14.0,4,Windows 10,1.63,38468.16,Intel,Intel,0,1,1366,768,111.93520355955211,0,500,0,0,Intel,i5,1.6,intel,0
Dell,Ultrabook,13.3,8,Windows 10,1.21,86793.12,Intel,Intel,0,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,1.6,intel,0
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,74538.1872,Intel,Intel,1,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,1.6,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,57755.52,Intel,Intel,0,0,1920,1080,157.3505121487356,512,0,0,0,Intel,i7,1.8,intel,0
Dell,Notebook,15.6,8,Windows 10,2.16,60223.98239999999,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,1024,0,0,Intel,i7,1.8,nvidia,1
Asus,Notebook,17.3,4,Windows 10,2.0,30049.92,Intel,Nvidia,0,0,1920,1080,127.33567457123111,0,1024,0,0,Intel,i3,2.5,nvidia,1
Asus,Notebook,15.6,8,Windows 10,1.7,59567.04,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,nvidia,1
Acer,Notebook,15.6,6,Windows 10,2.1,25521.12,Intel,Intel,1,1,1920,1080,141.21199808219862,0,1024,0,0,Intel,i3,2.4,intel,0
MSI,Gaming,15.6,16,Windows 10,1.8,119427.12,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,2048,0,0,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,15.6,8,No OS,2.2,33513.119999999995,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,2.5,nvidia,1
HP,Notebook,17.3,16,Windows 10,2.5,67718.88,Intel,Nvidia,0,0,1920,1080,127.33567457123111,512,0,0,0,Intel,i7,1.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,24029.28,AMD,AMD,0,0,1366,768,100.45466986113651,256,0,0,0,AMD,other,2.5,amd,1
HP,Notebook,15.6,4,No OS,1.86,13799.52,Intel,Intel,0,0,1366,768,100.45466986113651,0,500,0,0,Intel,celeron,1.6,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,43263.36,Intel,Intel,0,0,1920,1080,157.3505121487356,0,1024,0,0,Intel,i5,1.6,intel,0
Asus,Notebook,14.0,4,Windows 10 S,1.65,14811.3072,AMD,AMD,0,0,1366,768,111.93520355955211,64,0,0,0,AMD,other,1.5,amd,1
Dell,Notebook,17.3,16,Windows 10,2.8,74378.87999999999,Intel,AMD,0,0,1920,1080,127.33567457123111,256,2048,0,0,Intel,i7,1.8,amd,1
HP,Notebook,17.3,8,Windows 10,2.5,49443.84,Intel,Intel,0,0,1920,1080,127.33567457123111,256,0,0,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,8,Windows 10,2.36,34045.3872,Intel,AMD,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i5,2.5,amd,1
Dell,Notebook,15.6,4,Windows 10,2.2,23922.72,Intel,AMD,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i3,2.5,amd,1
Acer,Ultrabook,14.0,8,Windows 10,1.6,47099.52,Intel,Intel,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i7,1.8,intel,0
Acer,Notebook,15.6,4,Windows 10,2.2,30476.16,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i3,2.7,nvidia,1
HP,Notebook,15.6,8,Windows 10,2.05,31861.44,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i7,2.7,intel,0
HP,Notebook,14.0,8,Windows 10,1.63,52640.64,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i7,1.8,intel,0
Lenovo,Notebook,15.6,4,No OS,1.9,13445.7408,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,celeron,1.1,intel,0
Asus,Gaming,17.3,8,Windows 10,3.0,49976.64,Intel,Nvidia,0,0,1920,1080,127.33567457123111,128,1024,0,0,Intel,i5,2.5,nvidia,1
Lenovo,Notebook,15.6,4,No OS,2.2,26586.72,Intel,Nvidia,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i5,2.5,nvidia,1
HP,Notebook,13.3,4,Windows 10,1.32,37242.72,Intel,Intel,0,1,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,2.5,intel,0
Acer,Notebook,17.3,4,Windows 10,3.0,34898.4,Intel,Nvidia,0,1,1920,1080,127.33567457123111,0,1024,0,0,Intel,i3,2.7,nvidia,1
Lenovo,Notebook,14.0,8,Windows 10,1.75,59461.5456,Intel,AMD,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,1.6,amd,1
Lenovo,Gaming,15.6,8,No OS,2.4,46300.32,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,2.8,nvidia,1
Toshiba,Notebook,15.6,4,Windows 10,2.1,32074.56,Intel,Intel,0,0,1366,768,100.45466986113651,0,500,0,0,Intel,i5,2.3,intel,0
HP,Notebook,15.6,4,Windows 10,1.86,19660.32,AMD,AMD,0,0,1366,768,100.45466986113651,256,0,0,0,AMD,other,2.5,amd,1
Asus,Ultrabook,14.0,8,Windows 10,1.25,58554.72,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i7,1.8,intel,0
HP,Ultrabook,12.5,8,Windows 10,0.97,107305.92,Intel,Intel,1,1,3840,2160,352.4651472131677,512,0,0,0,Intel,other,1.2,intel,0
Asus,Notebook,15.6,4,Windows 10,2.0,18328.32,Intel,Intel,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,celeron,1.1,intel,0
MSI,Gaming,17.3,16,Windows 10,2.9,108105.12,Intel,Nvidia,0,0,1920,1080,127.33567457123111,256,1024,0,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,23816.16,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i3,2.5,intel,0
Dell,Gaming,15.6,16,Windows 10,2.56,66560.5728,Intel,Nvidia,0,0,1920,1080,141.21199808219862,512,0,0,0,Intel,i7,2.8,nvidia,1
Dell,Gaming,15.6,8,Windows 10,2.62,47898.72,Intel,Nvidia,0,0,1920,1080,141.21199808219862,0,0,0,1,Intel,i7,2.8,nvidia,1
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533.44,Intel,Intel,0,0,1366,768,100.45466986113651,128,0,0,0,Intel,i5,2.5,intel,0
MSI,Gaming,17.3,16,Windows 10,2.8,100699.2,Intel,Nvidia,0,0,1920,1080,127.33567457123111,256,1024,0,0,Intel,i7,2.8,nvidia,1
HP,Ultrabook,14.0,4,Windows 10,1.48,57648.96,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,2.7,intel,0
HP,Notebook,15.6,6,Windows 10,1.91,32980.32,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,1.6,amd,1
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,33513.119999999995,Intel,Intel,1,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i3,2.4,intel,0
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063.2,Intel,Intel,1,0,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,1.6,intel,0
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,55890.72,Intel,Intel,1,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,intel,0
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816.16,Intel,Intel,0,0,1366,768,100.45466986113651,0,500,0,0,Intel,i3,2.2,intel,0
Asus,Notebook,15.6,4,Windows 10,2.03,21471.84,AMD,AMD,0,0,1366,768,100.45466986113651,0,1024,0,0,AMD,other,2.5,amd,1
Acer,Notebook,17.3,4,Windows 10,3.0,42890.4,Intel,Nvidia,0,1,1920,1080,127.33567457123111,256,0,0,0,Intel,i5,1.6,nvidia,1
Dell,Notebook,15.6,8,Windows 10,2.13,38787.84,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,1.6,amd,1
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489.12,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,18541.44,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,celeron,1.1,intel,0
MSI,Gaming,15.6,16,Windows 10,2.4,95850.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,1024,0,0,Intel,i7,2.8,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.1,19367.8128,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,other,1.1,intel,0
